Movies,Rating,Year,Runtime
103. Vertigo,8.3,1958,2h 8m
104. Double Indemnity,8.3,1944,1h 47m
105. Le fabuleux destin d'Amélie Poulain,8.3,2001,2h 2m
106. Scarface,8.3,1983,2h 50m
107. Full Metal Jacket,8.3,1987,1h 56m
108. A Clockwork Orange,8.3,1971,2h 16m
109. Incendies,8.3,2010,2h 11m
110. Hamilton,8.3,2020,2h 40m
111. Heat,8.3,1995,2h 50m
112. Up,8.3,2009,1h 36m
113. To Kill a Mockingbird,8.3,1962,2h 9m
114. The Sting,8.3,1973,2h 9m
115. Jodaeiye Nader Az Simin,8.3,2011,2h 3m
116. Indiana Jones and the Last Crusade,8.2,1989,2h 7m
117. Metropolis,8.3,1927,2h 33m
118. Die Hard,8.2,1988,2h 12m
119. L.A. Confidential,8.2,1997,2h 18m
120. Ladri Di Biciclette,8.3,1948,1h 29m
121. Snatch,8.2,2000,1h 44m
122. Taare Zameen Par,8.3,2007,2h 45m
123. Taxi Driver,8.2,1976,1h 54m
124. 1917,8.2,2019,1h 59m
125. Der Untergang,8.2,2004,2h 36m
126. Dangal,8.3,2016,2h 41m
127. Top Gun: Maverick,8.3,2022,2h 10m
128. Per qualche dollaro in più,8.2,1965,2h 12m
129. Batman Begins,8.2,2005,2h 20m
130. Some Like It Hot,8.2,1959,2h 1m
131. The Kid,8.2,1921,1h 8m
132. The Wolf of Wall Street,8.2,2013,3h
133. The Father,8.2,2020,1h 37m
134. Green Book,8.2,2018,2h 10m
135. All About Eve,8.2,1950,2h 18m
136. Judgment at Nuremberg,8.3,1961,2h 59m
137. The Truman Show,8.2,1998,1h 43m
138. Ran,8.2,1985,2h 42m
139. Casino,8.2,1995,2h 58m
140. There Will Be Blood,8.2,2007,2h 38m
141. Shutter Island,8.2,2010,2h 18m
142. El Laberinto Del Fauno,8.2,2006,1h 58m
143. Unforgiven,8.2,1992,2h 10m
144. The Sixth Sense,8.2,1999,1h 47m
145. Jurassic Park,8.2,1993,2h 7m
146. A Beautiful Mind,8.2,2001,2h 15m
147. The Treasure of the Sierra Madre,8.2,1947,2h 6m
148. Yôjinbô,8.2,1961,1h 50m
149. No Country for Old Men,8.2,2007,2h 2m
150. Monty Python and the Holy Grail,8.2,1975,1h 31m
151. Kill Bill: Vol. 1,8.2,2003,1h 51m
152. The Great Escape,8.2,1963,2h 52m
153. The Thing,8.2,1982,1h 49m
154. Rashōmon,8.2,1950,1h 28m
155. Finding Nemo,8.2,2003,1h 40m
156. The Elephant Man,8.2,1980,2h 4m
157. Chinatown,8.2,1974,2h 10m
158. Spider-Man: No Way Home,8.2,2021,2h 28m
159. V for Vendetta,8.2,2005,2h 12m
160. Gone with the Wind,8.2,1939,3h 58m
161. Raging Bull,8.1,1980,2h 9m
162. Dial M for Murder,8.2,1954,1h 45m
163. Hauru No Ugoku Shiro,8.2,2004,1h 59m
"164. Lock, Stock and Two Smoking Barrels",8.1,1998,1h 47m
165. El Secreto De Sus Ojos,8.2,2009,2h 9m
166. Inside Out,8.1,2015,1h 35m
167. Prisoners,8.1,2013,2h 33m
"168. Three Billboards Outside Ebbing, Missouri",8.1,2017,1h 55m
169. The Bridge on the River Kwai,8.1,1957,2h 41m
170. Trainspotting,8.1,1996,1h 33m
171. Fargo,8.1,1996,1h 38m
172. Warrior,8.1,2011,2h 20m
173. Gran Torino,8.1,2008,1h 56m
174. Catch Me If You Can,8.1,2002,2h 21m
175. My Neighbour Totoro,8.1,1988,1h 26m
176. Million Dollar Baby,8.1,2004,2h 12m
177. Klaus,8.2,2019,1h 36m
178. Bacheha-Ye Aseman,8.2,1997,1h 29m
179. Harry Potter and the Deathly Hallows: Part 2,8.1,2011,2h 10m
180. Blade Runner,8.1,1982,1h 57m
181. 12 Years a Slave,8.1,2013,2h 14m
182. Before Sunrise,8.1,1995,1h 41m
183. The Gold Rush,8.1,1925,1h 35m
184. The Grand Budapest Hotel,8.1,2014,1h 39m
185. Ben-Hur,8.1,1959,3h 32m
186. Gone Girl,8.1,2014,2h 29m
187. On the Waterfront,8.1,1954,1h 48m
188. Barry Lyndon,8.1,1975,3h 5m
189. Hacksaw Ridge,8.1,2016,2h 19m
190. In the Name of the Father,8.1,1993,2h 13m
191. The General,8.1,1926,1h 18m
192. The Deer Hunter,8.1,1978,3h 3m
193. Smultronstället,8.1,1957,1h 31m
194. Salinui Chueok,8.1,2003,2h 11m
195. The Third Man,8.1,1949,1h 44m
196. Le Salaire De La Peur,8.2,1953,2h 11m
197. Relatos Salvajes,8.1,2014,2h 2m
198. Sherlock Jr.,8.2,1924,45m
199. Mad Max: Fury Road,8.1,2015,2h
200. Mr. Smith Goes to Washington,8.1,1939,2h 9m
201. Dead Poets Society,8.1,1989,2h 8m
"202. Monsters, Inc.",8.1,2001,1h 32m
203. How to Train Your Dragon,8.1,2010,1h 38m
204. Mary and Max,8.1,2009,1h 32m
205. Jaws,8.1,1975,2h 4m
206. Det Sjunde Inseglet,8.1,1957,1h 36m
207. Room,8.1,2015,1h 58m
208. The Big Lebowski,8.1,1998,1h 57m
209. Tokyo Story,8.1,1953,2h 16m
210. Ford v. Ferrari,8.1,2019,2h 32m
211. Ratatouille,8.1,2007,1h 51m
212. Hotel Rwanda,8.1,2004,2h 1m
213. La passion de Jeanne d'Arc,8.2,1928,1h 50m
214. Rocky,8.1,1976,2h
215. Logan,8.1,2017,2h 17m
216. Platoon,8.1,1986,2h
217. Spotlight,8.1,2015,2h 9m
218. The Terminator,8.1,1984,1h 47m
219. Jai Bhim,8.8,2021,2h 44m
220. Before Sunset,8.1,2004,1h 20m
221. Rush,8.1,2013,2h 3m
222. Network,8.1,1976,2h 1m
223. Stand by Me,8.1,1986,1h 29m
224. The Best Years of Our Lives,8.1,1946,2h 50m
225. The Wizard of Oz,8.1,1939,1h 42m
226. Into the Wild,8.1,2007,2h 28m
227. La haine,8.1,1995,1h 38m
228. The Exorcist,8.1,1973,2h 2m
229. The Incredibles,8.0,2004,1h 55m
230. Pirates of the Caribbean: The Curse of the Black Pearl,8.1,2003,2h 23m
231. To Be or Not to Be,8.2,1942,1h 39m
232. Groundhog Day,8.0,1993,1h 41m
233. Babam Ve Oglum,8.2,2005,1h 52m
234. Hachi: A Dog's Tale,8.1,2009,1h 33m
235. The Grapes of Wrath,8.1,1940,2h 9m
236. La battaglia di Algeri,8.1,1966,2h 1m
237. Ah-ga-ssi,8.1,2016,2h 25m
238. Amores perros,8.1,2000,2h 34m
239. Pather Panchali,8.2,1955,2h 5m
240. Rebecca,8.1,1940,2h 10m
241. Cool Hand Luke,8.1,1967,2h 7m
242. The Sound of Music,8.1,1965,2h 52m
243. It Happened One Night,8.1,1934,1h 45m
244. The 400 Blows,8.1,1959,1h 39m
245. The Iron Giant,8.1,1999,1h 26m
246. The Help,8.1,2011,2h 26m
247. Persona,8.1,1966,1h 25m
248. Life of Brian,8.0,1979,1h 34m
249. Aladdin,8.0,1992,1h 30m
250. Gangs of Wasseypur,8.2,2012,5h 21m
