plant_name
Abelmoschus esculentus (L.) Moench
Abelmoschus ficulneus (L.) Wight & Arn.
Abelmoschus manihot (L.) Medik.
Abelmoschus moschatus Medik.
Abies spectabilis (D. Don) Spach.
Abroma agusta (L.) L.f.
Abrus precatorius L.
Abutilon hirtum (Lam.) Sweet
Abutilon indicum (L.) Sweet
Abutilon pannosum (Forst.) Schlect.
Abutilon theophrastii Medik.
Acacia catechu (L.f.) Willd.
Acacia farnesiana (L.) Willd.
Acacia jacquemontii Benth.
Acacia leucophloea (Roxb.) Willd.
Acacia modesta Wall.
Acacia nilotica (L.) Willd. ex Delile
Acacia pennata (L.) Willd.
Acacia rugata (Lam.) Merr.
Acacia senegal (L.) Willd.
Acacia torta (Roxb.) Craib
Acalypha fruticosa Forsk.
Acalypha indica L.
Acalypha racemosa Wall. ex Bailley
Acampe papillosa (Lindl.) Lindl.
Acanthus illicifolius L.
Achillea millefolium L.
Achyranthes aspera L.
Achyranthes bidentata Blume
Aconitum balfourii Stapf
Aconitum bisma (Buch. -Ham.) Rapaics
Aconitum chasmanthum Holmes ex Stapf
Aconitum falconeri Stapf
Aconitum heterophyllum Wall. ex Royle
Aconitum laciniatum (Bruhl) Stapf
Aconitum novoluridum Munz
Aconitum spicatum (Bruhl) Stapf
Aconitum violaceum Jacq. Ex Stapf
Acorus calamus L.
Acronychia pedunculata (L.) Miq.
Actaea spicata L.
Actiniopteris radiata(Swartz) Link
Actinodaphne hookeri Meissn.
Adansonia digitata L.
Adenanthera pavonia L.
Adenia wightiana (Wall. ex Wight & Arn.) Engl.
Adenostemma lavenia (L.) Kuntze
Adiantum capillus-veneris L.
Adiantum caudatum L.
Adiantum philippense L.
Adiantum venustum D.Don
Adonis aestivalis L.
Aegle marmelos (L.) Corr.
Aerva javanica (Burm.f.) Juss. ex Schult.
Aerva lanata (L.) Juss.
Aesculus indica Colebr. ex Camb.
Aganosma caryophyllata G.Don
Agave americana Blanco
Agave americana L.
Agave angustifolia Haw.
Agave sisalana Perr. ex Engelm.
Ageratum conyzoides L.
Aglaia elaeagnoidea (Juss.) Benth.
Agropyron repens (L.) Beauv.
Ailanthus altissima (Mill.) Swingle
Ailanthus excelsa Roxb.
Ailanthus triphysa (Dennst.) Alston
Ajuga bracteosa Wall. ex Benth.
Alangium salvifolium (L.f.) Wang.
Albizzia amara (Roxb.) Boivin
Albizzia lebbeck (L.) Willd.
Albizzia odoratissima (L.f.) Benth.
Aleurites mollucana Willd.
Alhagi pseudoalhagi (Bieb.) Desv.
Alhagi pseudoalhagi (Bieb.) Desv.
Allamanda cathartica L.
Allium cepa L.
Allium macleanii Baker
Alnus nepalensis D.Don
Alnus nitida Endl.
Alocasia macrorrhizos (L.) G.Don
Aloe vera (L.) Burm.f.
Aloysia triphylla (L'Herit) Britton
Alpinia galanga (L.) Willd.
Alpinia nigra (Gaertn.) B.L.Burtt
Alstonia scholaris (L.) R.Br.
Alstonia venenata R.Br.
Alternanthera sessilis (L.) R.Br. ex. DC.
Althaea officinalis L.
Althaea rosea (L.) Cav.
Altingia excelsa Noronha
Alysicarpus longifolius (Rottler ex Spreng.) Wight & Arn.
Alysicarpus vaginalis (L.) DC.
Amaranthus lividus L.
Amaranthus tricolor L.
Amaranthus viridis L.
Amaranthus caudatus L.
Amaranthus spinosus L.
Ammania auriculata Willd.
Ammania baccifera L.
Ammi visnaga (L.) Lam.
Amomum aromaticum Roxb.
